,Date,Consumer Price Index,Electricity Prices,Gas Prices,Unemployment Rate
0,2018-01-01,288.331,0.274,3.181,3.7
1,2018-02-01,289.6335254237288,0.274,3.376,3.5
2,2018-03-01,290.81,0.274,3.394,3.4
3,2018-04-01,290.01365573770494,0.273,3.54,3.1
4,2018-05-01,289.243,0.273,3.669,2.9
5,2018-06-01,292.2627049180328,0.321,3.684,3.6
6,2018-07-01,295.185,0.321,3.605,3.6
7,2018-08-01,295.534,0.321,3.575,3.5
8,2018-09-01,295.883,0.321,3.631,3.2
9,2018-10-01,294.8870983606557,0.292,3.76,3.3
10,2018-11-01,293.858,0.27,3.617,3.3
11,2018-12-01,294.79390163934426,0.27,3.378,3.3
12,2019-01-01,295.761,0.265,3.218,3.9
13,2019-02-01,296.5307457627119,0.265,3.246,3.4
14,2019-03-01,297.226,0.278,3.289,3.5
15,2019-04-01,298.78972131147543,0.278,3.901,2.9
16,2019-05-01,300.303,0.276,3.951,2.8
17,2019-06-01,299.8100491803279,0.313,3.81,3.4
18,2019-07-01,299.333,0.313,3.732,3.6
19,2019-08-01,300.183,0.313,3.646,3.4
20,2019-09-01,301.033,0.313,3.673,3.0
21,2019-10-01,301.27250819672133,0.313,3.97,3.1
22,2019-11-01,301.52,0.287,3.908,3.1
23,2019-12-01,302.0334426229508,0.287,3.589,2.9
24,2020-01-01,302.564,0.28,3.464,3.4
25,2020-02-01,302.57691666666665,0.292,3.433,3.2
26,2020-03-01,302.589,0.292,3.329,4.7
27,2020-04-01,301.94257377049183,0.279,2.754,16.1
28,2020-05-01,301.317,0.279,2.756,15.9
29,2020-06-01,303.4991967213115,0.291,2.906,13.3
30,2020-07-01,305.611,0.291,3.055,12.4
31,2020-08-01,305.027,0.291,3.044,10.3
32,2020-09-01,304.443,0.291,3.014,9.5
33,2020-10-01,305.373,0.292,3.011,8.3
34,2020-11-01,306.334,0.292,3.028,8.0
35,2020-12-01,306.9999016393443,0.292,3.044,8.2
36,2021-01-01,307.688,0.292,3.2,8.4
37,2021-02-01,311.5482881355932,0.337,3.413,7.8
38,2021-03-01,315.035,0.347,3.785,7.4
39,2021-04-01,316.105262295082,0.346,3.89,7.2
40,2021-05-01,317.141,0.346,4.024,6.6
41,2021-06-01,320.5789508196721,0.35,4.211,7.3
42,2021-07-01,323.906,0.35,4.286,6.9
43,2021-08-01,324.022,0.35,4.333,6.5
44,2021-09-01,324.138,0.35,4.334,5.5
45,2021-10-01,325.2612786885246,0.35,4.421,5.2
46,2021-11-01,326.422,0.365,4.596,4.6
47,2021-12-01,329.65216393442626,0.365,4.617,4.2
48,2022-01-01,332.99,0.419,4.61,4.6
49,2022-02-01,336.59545762711866,0.419,4.708,4.1
50,2022-03-01,339.852,0.419,5.709,3.6
51,2022-04-01,341.70691803278686,0.409,5.801,3.2
52,2022-05-01,343.502,0.409,5.932,2.9
53,2022-06-01,345.51445901639346,0.409,6.286,3.4
54,2022-07-01,347.462,0.409,5.902,3.4
55,2022-08-01,349.0915,0.409,5.333,3.5
56,2022-09-01,350.721,0.409,5.456,3.1
57,2022-10-01,349.4541147540983,0.409,6.006,3.3
58,2022-11-01,348.145,0.41,5.319,3.3
59,2022-12-01,351.2472950819672,0.41,4.544,3.0
60,2023-01-01,354.453,0.475,4.526,3.7
61,2023-02-01,356.33033898305086,0.475,4.7,3.7
62,2023-03-01,358.026,0.475,4.88,3.7
63,2023-04-01,359.7096557377049,0.477,4.886,3.3
64,2023-05-01,361.339,0.477,4.824,3.5
65,2023-06-01,361.8842950819672,0.475,4.874,4.0
66,2023-07-01,362.412,0.475,4.923,3.9
67,2023-08-01,364.7985,0.475,5.216,4.3
68,2023-09-01,367.185,0.475,5.722,4.1
69,2023-10-01,366.7709016393443,0.475,5.78,4.2
70,2023-11-01,366.343,0.477,5.163,4.2
71,2023-12-01,367.11709836065575,0.477,4.816,4.3
72,2024-01-01,367.917,0.401,4.644,4.7
